Школа № 967;ул. Сухонская, д. 13
Специальная (коррекционная) школа № 991;ул. Шипиловская, д. 59, корп. 2
Школа № 996;Борисовский проезд, д. 13
Школа № 998;ул. Борисовские пруды, д. 36, корп. 2
Школа № 1000;ул. Наро-Фоминская, д. 1
Школа № 1002;пр-т Солнцевский, д. 12а
Школа № 1018;ул. Шолохова, д. 20
Вишняковская школа;аллея Жемчуговой, д. 7
Школа № 1034 имени Героя Советского Союза В. В. Маркина;ул. Братеевская, д. 8, корп. 2
Школа № 1056;ул. Штурвальная, д. 7, корп. 2
Школа № 1065;ул. Скобелевская, д. 28
Школа № 1080;ул. Знаменская, д. 12/4
Школа № 1095;ул. Енисейская, д. 32, корп. 3
Школа № 1101;ул. Академика Варги, д. 34
Школа № 1103 имени Героя Российской Федерации А. В. Соломатина;Литовский бульвар, д. 17, корп. 4
Школа имени Н. М. Карамзина;проезд Карамзина, д. 13.
Школа № 1125 имени Я. Н. Федоренко;ул. Бусиновская Горка, д. 7, корп. 1
Школа № 1150 имени дважды Героя Советского Союза К. К. Рокоссовского;Зеленоград, корп. 1609
Школа № 1151;Зеленоград, корп. 1469
Школа № 1155 (СЗАО, ул. Таллинская, д. 16 корп.4)
Школа № 1158;117648, мкр. Северное Чертаново, корп. 809
Школа № 1159
Школа № 1161
Школа № 1164
Школа № 1169
Школа № 1173
Школа № 1179
Школа № 1186 имени Мусы Джалиля
Школа № 1190;123627, Пятницкое ш., д. 25, к. З
Школа № 1191;123627, ул. Митинская, д. 48, к. 2
Школа № 1194;124683, Зеленоград, к. 1556
Школа № 1195 ул. Дорогобужская, д. 13
Школа № 1205;ул. Архитектора Власова, д. 19а
Школа № 1206;Литовский бульвар, д. 3, корп. 3
Школа № 1207;ул. Домодедовская, д. 24, корп. 7
Школа № 1208 имени Героя Советского Союза М. С. Шумилова;ул. Зеленодольская, д. 33. корп. 3
Школа № 1210;ул. Гамалеи, д. 17 корп. 1
Школа № 1212 Щукино;ул. Маршала Рыбалко, д. 14
Школа № 1213;3-й Нижнелихоборский проезд, д. 6а
Школа № 1220;ул. Аргуновская, д. 12, корп. 2, стр. 1
Школа № 1222 имени Маршала Советского Союза И. Х. Баграмяна;ул. Нижегородская, д. 64
Школа № 1223;125239, ул. Михалковская, д. 13А
Школа № 1228;111024, ул. Авиамоторная, д. 42
Школа № 1231 имени В. Д. Поленова (ГБОУ);119002, пер. Спасопесковский, д. 6, стр. 7
Школа № 1234;121069, ул. Б. Молчановка, д. 26—28
Школа № 1236;127254, ул. Яблочкова, д. 10
Школа № 1238;119634, ул. Чоботовская, д. 19
Школа № 1239;с углублённым изучением английского языка;Вспольный пер., 6
Школа № 1241;123002, Б. Трёхгорный пер., д. 3
Школа № 1246;с углублённым изучением английского языка, 107143, Открытое ш., д. 29
Школа № 1247 имени Юргиса Балтрушайтиса (русско-литовская);105005, Госпитальный пер., д. 3
Школа № 1248 (ГБОУ);121352, ул. Давыдковская, д. 2, корп. 6
Школа № 1249;125057, Чапаевский пер., д. 6
Школа № 1250;125212, Ленинградское ш., д. 27
Школа № 1251;125252, ул. С.Альенде, д. 9
Школа № 1252;125080, ул. Дубосековская, д. 3
Школа № 1253;119021, Зубовский б-р, д. 5
Школа им. Полбина;с углублённым изучением английского языка, 109388, ул. Полбина, д. 38
Школа № 1257;113093, ул. Павловская, д. 8А
Школа № 1259;с углублённым изучением английского языка;115054, 5-й Монетчиковский пер., 7
Школа № 1270 (ГБОУ);109004, Товарищеский пер., д. 21
Школа № 1272;109280, Кожуховский 1-й пр., д. 17
Школа № 1273;с углублённым изучением английского языка;117647, ул. Академика Капицы, д. 12
